name,color,price,preSalePrice,link
Legacy Deep Cuff Beanie,Cement Brown,22.0,,https://us.shop.gymshark.com/products/gymshark-legacy-deep-cuff-beanie-cement-brown-aw22
Sharkhead Cap,White,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-white-aw22
Bold Bag,Black,27.2,34.0,https://us.shop.gymshark.com/products/gymshark-bold-bag-black-aw22
Wraps,Black,20.0,,https://us.shop.gymshark.com/products/gymshark-lifting-straps-self-tie-black
Premium Jacquard Single Socks,Black/White,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-jacquard-single-socks-black-white-aw22
Flat Peak Cap,Core Olive,16.8,28.0,https://us.shop.gymshark.com/products/gymshark-flat-peak-cap-core-olive-aw22
Logo 5 Panel Cap,Obsidian Green,22.4,28.0,https://us.shop.gymshark.com/products/gymshark-logo-5-panel-cap-obsidian-green-aw22
Studio Mat,Rose Brown,54.4,68.0,https://us.shop.gymshark.com/products/gymshark-studio-mat-rose-brown-aw22
Flip Straw Water Bottle,Black,22.0,,https://us.shop.gymshark.com/products/gymshark-600ml-straw-flask-black
Legacy Cap,Black,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-cap-black-aw22
Scrunchies 3Pk,Black/Core Olive/Light Grey,14.0,,https://us.shop.gymshark.com/products/gymshark-scrunchies-3pk-black-core-olive-ss22-light-grey
Wraps- Smokey Grey,,20.0,,https://us.shop.gymshark.com/products/gymshark-wrist-straps-self-tie-smokey-grey-ss22
eGift Card,,10.0,,https://us.shop.gymshark.com/products/gift-card
Flat Peak Cap,Black,16.8,28.0,https://us.shop.gymshark.com/products/gymshark-flat-peak-cap-black-ss22
Bow Scrunchie,Desert Sage Green,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-bow-scrunchie-desert-sage-green-ss23
Whitney Baseball Cap,Indigo Navy,25.2,28.0,https://us.shop.gymshark.com/products/gymshark-whitney-baseball-cap-indigo-navy-ss22
Whitney Baseball Cap,Sunset Beige,25.2,28.0,https://us.shop.gymshark.com/products/gymshark-whitney-baseball-cap-sunset-beige-ss22
Whitney Tab Crew Socks 1pk,Sea Kelp Green,12.6,14.0,https://us.shop.gymshark.com/products/gymshark-whitney-tab-crew-socks-1pk-sea-kelp-green-ss22
Whitney Tab Crew Socks 1pk,Indigo Navy,12.6,14.0,https://us.shop.gymshark.com/products/gymshark-whitney-tab-crew-socks-1pk-indigo-navy-ss22
Whitney Straw Bottle,Sea Kelp Green,23.4,26.0,https://us.shop.gymshark.com/products/gymshark-whitney-straw-bottle-sea-kelp-green-ss22
Whitney Bottle,Cement Brown,26.0,,https://us.shop.gymshark.com/products/gymshark-whitney-bottle-cement-brown-aw22
Woven Tab Sneaker Socks 3pk,Kiwi Green/Sweet Pink/Fluo Fuchsia,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-woven-tab-sneaker-socks-3pk-kiwi-green-sweet-pink-fluo-fuchsia-aw22
No Show Performance Socks,Black,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-no-show-performance-socks-black
Crew Socks 5pk,White,24.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-5pk-white-aw22
Crew Performance Socks,White,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-crew-performance-socks-white-aw22
Crew Socks 3pk,White,16.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-3pk-white-aw21
Studio Socks,Black,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-studio-socks-black-aw21
Premium Sharkhead Crew Single,White,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-sharkhead-crew-single-white-aw22
Studio Socks,Rose Brown,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-studio-socks-rose-brown-aw22
No Show Performance Socks,White,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-no-show-performance-socks-white
Comfy Rest Day Socks,Soft Lilac,12.0,,https://us.shop.gymshark.com/products/gymshark-comfy-rest-day-socks-soft-lilac-aw22
Ankle Socks 3pk,White/Light Grey Marl/Black,14.0,,https://us.shop.gymshark.com/products/gymshark-trainer-socks-3pk-white-light-grey-marl-black-aw21
Premium Jacquard Single Socks,White/Meridian Blue,9.6,12.0,https://us.shop.gymshark.com/products/gymshark-premium-jacquard-single-socks-white-meridian-blue-aw22
Crew Socks 3pk,Black/Light Grey Marl/Reactive Green,16.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-3pk-black-light-grey-marl-reactive-green-aw22
Crew Performance Socks,White,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-crew-performance-socks-white
Knee Sleeve 5mm,Black,26.0,,https://us.shop.gymshark.com/products/gymshark-knee-sleeve-black
Sharkhead Cross Body,Sweet Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cross-body-sweet-pink-aw22
Logo Trucker Cap,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-logo-trucker-cap-black-aw22
Crew Socks 3pk,White/Pink/Red,16.0,,https://us.shop.gymshark.com/products/gymshark-crew-socks-3pk-white-pink-red-ss23
Everyday Keychain,Scandi Pink,14.0,,https://us.shop.gymshark.com/products/gymshark-everyday-keychain-scandi-pink-ss23
33oz Water Bottle,Misty Pink/Hazy Pink,14.0,,https://us.shop.gymshark.com/products/gymshark-1l-water-bottle-misty-pink-hazy-pink-ss23
Everyday Tote,Cement Brown,36.0,,https://us.shop.gymshark.com/products/gymshark-everyday-tote-cement-brown-ss23
Everyday Tote,Black,36.0,,https://us.shop.gymshark.com/products/gymshark-everyday-tote-black
Noah Ohlsen Bucket Hat,Black/Pink,35.0,,https://us.shop.gymshark.com/products/gymshark-noah-ohlsen-bucket-hat-black-pink-ss23
Silicone Lifting Straps,Magenta Pink,16.0,,https://us.shop.gymshark.com/products/gymshark-silicone-lifting-straps-magenta-pink-aw22
